m0,m1,m2,m3,voltage_mV,std_mV
2750,356,645,595,838.3699148533588,0.6826700051127053
2908,784,1017,1064,6.69365520187994,2.2157678844698374
2922,330,1287,1207,154.6549882503738,8.522109133555873
2400,497,1376,918,5.873378704184088,4.237852663788701
2660,511,631,787,171.57689138462476,8.721111243561738
3074,531,669,805,6.870265816217536,2.011456895635836
2491,173,1414,938,5.238380077517014,5.26235559603184
3012,923,1205,943,6.2614825891903445,3.48103048963893
3066,209,1181,1079,207.5722525711845,8.408575991011489
2657,932,1318,1149,6.614276558732872,2.5023069485205824
2535,272,877,1097,7.49809259315775,3.0437931743304563
2774,333,1061,945,485.06942960905786,3.0916932789173117
2810,880,745,1209,6.640766624958037,2.474784753220251
2855,687,1408,1270,6.5525681325724054,2.7598147702432123
3124,277,1088,1207,60.02502517777032,0.9688626564988345
2522,71,652,1275,6.085055085909604,3.8262189416553953
2498,355,1274,1305,7.091128269295329,1.9731683181003201
3139,618,639,564,6.534867397076327,2.699738419627503
2670,138,1238,759,6.146794030579548,3.6952536995961336
2915,993,982,1158,6.305612353892637,3.4222009960917044
2285,864,1383,567,5.458845789971618,4.919389016723015
2562,219,664,727,6.790765099032564,2.04375119419397
2554,656,1145,774,6.235053559984132,3.5859479254788584
2211,315,1115,1189,5.891018402661215,4.205496121865464
2872,298,1025,543,6.39387188329722,3.299628436137228
2308,776,1345,448,4.956114383373516,5.595365464864094
2452,102,1524,1309,5.838099307229835,4.3016186934824745
2457,699,1191,1382,144.0610980559709,7.638923594659097
2982,779,885,923,6.808496353038118,2.192737207167241
2310,118,1266,921,5.82045960875271,4.333042118338941
2473,347,736,1008,7.099978637043367,2.011869859065951
2597,1023,781,649,6.279122287667471,3.4395760828656905
2718,456,1014,712,76.49555955687127,4.560739714358503
2301,357,1047,906,6.234992522965179,3.4977791870253254
2859,570,1334,1326,27.561876277962575,6.8120010539469
2837,620,1296,1325,18.75576036866359,8.345249173390672
2868,389,952,625,15.684682760093997,8.849500369496246
2519,961,1340,1167,6.720206305124059,2.322271602436136
2949,989,1531,1102,5.785180211798457,4.3950026479955335
2688,467,1096,659,6.393749809259316,3.1045869319742425
2467,219,847,1192,6.411420026245918,3.107921322389742
3111,432,823,598,6.534897915585804,2.756964068210738
2645,800,814,1297,7.1088595233008816,2.124598572942538
2571,426,699,1272,5.970427564317759,4.094069513208937
2320,625,735,1068,7.020386364329966,1.8106363497658622
3084,506,685,758,6.252662739951782,3.5015403354182792
2178,663,1562,823,5.47651600695822,4.924849555021909
