m0,m1,m2,m3,voltage_mV,std_mV
3608,2462,1995,1932,2.27729117709891,9.723465115000975
346,1461,2936,2761,2.912305063020722,10.911468511892021
89,1796,3592,2961,1.9707327494125186,9.078689490565509
52,1463,3723,1549,3.4816278572954498,11.847062529015153
2960,408,2333,2057,11.999572740867336,19.532544017632333
1570,3593,1655,892,2.8028199102755815,10.718725061686179
848,2421,2528,2635,4.094744712668232,12.74984571928656
409,21,2041,1990,2.38677632984405,9.94132421601269
3837,1157,2503,1304,3.0874813074129457,11.210745032883583
303,2265,84,1175,1.313821832941679,7.470707183064635
634,1744,3419,2595,1.9050416577654345,8.933102878434772
502,1459,1189,3372,1.7298654133732108,8.530263610012025
2284,3062,567,1372,1.160542619098483,7.034061074297898
4015,1995,350,560,1.7736594744712666,8.633069179657882
781,786,3657,3004,4.160435804315317,12.841072919616016
2234,3771,1150,2842,3.2407605212561417,11.464010446433079
2845,46,1190,274,0.9196752830591752,6.279372015607568
2159,1402,582,1868,2.8028199102755815,10.718725061686179
1337,463,3586,952,3.021790215765862,11.099785999137982
2780,4025,3184,2527,3.087481307412946,11.210745032883585
1185,2882,2244,862,3.4378337961973933,11.778709696114992
534,849,1091,899,1.0729544969023714,6.770362135096863
1888,2086,290,387,2.474364452040162,10.111379161617105
1018,3056,2823,3072,2.2116000854518263,9.589774467044183
2453,3011,1013,3501,1.9488357188634904,9.030474510393312
3262,1748,3062,345,2.2553941465498824,9.67915628027112
2060,459,807,3882,1.686071352275155,8.42597621716659
2420,3678,2218,1448,3.634907071138645,12.082002853144333
2018,3670,3885,1923,2.9779961546678058,11.024975485237206
3481,3855,1704,1798,3.0436872463148896,11.13693823162848
1073,1950,739,2772,2.1678060243537702,9.499349794594277
1835,3539,3733,1239,3.591113010040589,12.015545344297047
2384,63,1057,902,3.15317239906003,11.320235356163964
2340,3304,3335,3733,1.5984832300790428,8.212729363948112
15,1969,2223,2695,2.0364238410596025,9.221510074628023
2922,1510,2433,3595,1.467101046784875,7.880223816519516
1657,1721,1078,1778,2.0145268105105747,9.174202524083825
1521,1176,2464,2909,2.737128818628498,10.600854330972552
1646,1250,284,2700,2.255394146549882,9.67915628027112
3334,124,3624,2010,5.846507156590471,14.894987267328597
884,476,2258,1018,2.0145268105105747,9.174202524083826
359,2919,1340,2828,0.9853663747062593,6.4947862417060405
2492,1432,1882,4019,1.4233069856868188,7.765731795327052
2469,2497,3681,1510,3.5254219183935054,11.91486228153148
3770,3611,1810,1178,2.9342020935697497,10.949478701469229
891,1155,1425,172,2.124011963255714,9.407852192279021
1659,2361,75,1106,0.5255287331766716,4.7685277602346865
3133,3975,1318,2105,1.291924802392651,7.410098787131003
384,996,725,221,1.9926297799615464,9.12659722401795
1202,976,3763,998,2.9560991241187775,10.987313758237345
3433,929,1294,3050,1.423306985686819,7.765731795327052
3475,2314,988,934,1.357615894039735,7.590282767823524
2320,697,1769,500,1.357615894039735,7.590282767823524
3486,1804,2271,2739,2.540055543687246,10.236574891421384
964,1306,986,3565,0.7007049775688955,5.4950640700336075
1503,129,2898,3872,1.9269386883144626,8.98194733561316
2921,199,2661,745,1.313821832941679,7.470707183064635
800,3714,1144,1113,0.8539841914120913,6.055588068577097
1057,2653,3477,2836,1.8612475966673787,8.834441032174075
2046,184,2032,3160,2.1678060243537707,9.499349794594277
2946,2926,507,3793,1.7298654133732108,8.530263610012025
478,1065,2795,3144,2.124011963255714,9.407852192279021
3960,721,2122,1317,2.2116000854518263,9.589774467044185
952,2992,21,1870,0.9415723136082034,6.352063995949826
2207,3914,2173,2243,1.5546891689809867,8.103646959406143
1624,2663,3960,1511,3.897671437726981,12.47008494147054
1614,1035,3710,155,0.8101901303140354,5.901280201850826
486,1355,3873,1586,4.620273445844904,13.45338659455967
340,224,3334,565,4.335612048707541,13.079622590949164
3348,2514,4001,2214,1.839350566118351,8.784612715894253
3545,3321,713,502,2.0802179021576586,9.315250044089266
3034,1855,610,2437,1.8612475966673785,8.834441032174075
3257,672,3859,425,2.5181585131382183,10.195060837566121
331,1367,3622,2544,4.620273445844905,13.453386594559667
3860,754,1404,1218,1.160542619098483,7.034061074297898
3173,15,3806,3151,1.839350566118351,8.784612715894253
989,3291,3009,3710,1.291924802392651,7.410098787131002
1819,3887,3176,2740,2.3867763298440505,9.941324216012688
693,2322,2728,3658,1.9050416577654345,8.933102878434772
870,2812,3281,3123,3.744392223883785,12.245883745225202
2245,3434,87,2482,1.664174321726127,8.37325956544984
1462,3307,569,3516,1.0072634052552873,6.564874373818548
1676,1296,3557,37,1.313821832941679,7.470707183064635
279,2540,625,2118,1.357615894039735,7.590282767823524
3678,145,1260,2309,2.759025849177526,10.640334720936488
3924,3649,4065,3440,2.474364452040162,10.111379161617105
2481,2051,320,4085,1.445204016235847,7.823217901710545
1218,3113,2538,3458,1.0948515274513992,6.837345597477419
2696,927,955,1483,1.7955565050202944,8.683932756715123
957,353,2118,3751,2.3429822687459945,9.8549045006771
453,1269,2070,3687,1.1167485580004273,6.903609725240888
2393,3045,169,3171,1.9707327494125184,9.07868949056551
56,2683,3708,3670,2.299188207647938,9.767523863675802
246,3184,580,2503,1.138645588549455,6.969175037093242
975,3630,1924,1600,4.248023926511428,12.961192541715889
3445,461,1531,3162,1.4889980773339029,7.936759886713515
739,2764,2471,364,1.9269386883144628,8.98194733561316
1233,3430,2448,28,1.8174535355693227,8.734445250022883
2198,3991,2760,2736,0.7226020081179235,5.578846012479483
3123,1681,1807,3204,1.423306985686819,7.765731795327053
612,3331,1575,2805,0.9853663747062593,6.4947862417060405
1678,3078,932,3976,0.9415723136082034,6.352063995949826
32,1977,538,796,1.1167485580004273,6.903609725240887
327,3790,2575,1201,2.1459089938047424,9.453737048165692
2779,3733,2440,658,1.9050416577654345,8.933102878434772
3533,3389,2083,2809,1.379512924588763,7.649275612493692
1571,3909,3838,2406,1.839350566118351,8.784612715894253
3102,249,3562,1386,3.1969664601580856,11.392433889965004
1209,2898,2497,2934,2.145908993804743,9.453737048165692
4006,1198,3198,1956,1.664174321726127,8.37325956544984
423,1930,1914,2688,2.780922879726554,10.679624264960815
1239,339,756,2245,2.890408032471693,10.873281352848377
3951,975,1197,1902,2.583849604785302,10.318962577701605
1751,796,1224,107,2.9560991241187775,10.987313758237345
1019,2333,1845,12,1.5984832300790426,8.212729363948112
978,1258,2128,1740,2.693334757530442,10.521312409233193
