m0,m1,m2,m3,voltage_mV,std_mV
2926,374,1040,1257,59.3435468611713,3.489324128363466
2938,55,1214,857,6.1820734275338,3.6178157212434887
2324,489,1236,928,5.917477950376904,4.156348689833818
2259,559,1333,997,6.384960478530229,3.1774639437069077
2262,943,887,597,130.46693319498274,2.1865782394346684
2580,104,954,549,6.376140629291665,3.200260407694865
2188,367,652,651,5.467665639210181,4.906238838329559
3100,910,1414,979,4.8414563432721955,5.732223514974926
2169,460,1165,646,3.959471419415876,6.626049319885205
2478,409,967,1345,6.870326853236488,2.161121138595304
2322,874,1147,1076,287.50923184911653,6.091060686159157
3120,115,1576,612,4.479842524491105,6.129884053171655
2830,751,861,724,16.091799676503804,8.845835199122469
2729,758,1344,1016,6.234992522965179,3.497779187025326
2773,660,1390,477,4.8590960417493205,5.711531708331186
2666,691,1457,452,4.903195287942137,5.659230679911756
2719,529,1506,583,4.153508102664266,6.450415900416266
2664,422,1001,945,272.28614154484694,0.0
2378,855,893,1287,7.223883785515915,2.48804157793937
3111,160,949,723,563.6407361064485,8.806008855576396
2212,986,1502,434,5.423566393017365,4.971485445973838
3045,921,1239,558,5.035493026520585,5.49722177702728
2561,740,1291,1231,988.5891293069247,8.849925218588247
2151,107,1311,1138,4.153508102664267,6.450415900416266
2912,37,1149,1298,39.64262825403607,6.380562741637068
2815,551,601,1149,6.279091769157994,3.393877528586961
2463,468,1174,866,6.481948301644948,2.859100750281971
3042,605,764,591,5.282448805200354,5.172223099329656
2916,90,1227,876,11.480758079775384,7.720032269916859
2865,606,1078,752,7.489242225409711,3.019519279566195
2440,750,754,792,61.29947813348796,4.516289850679273
2975,201,801,1205,7.046906949064609,1.8526035294816279
2144,250,1342,1125,4.576891384624775,6.053756741059431
3062,435,1462,1416,6.843745231482895,1.9704958118159066
3095,863,629,898,5.1236915189062175,5.384703961121808
2227,778,1094,1037,8.091067232276377,4.332306993573509
2986,813,685,1231,5.458876308481094,4.951031944352464
3076,174,1554,900,4.66505935850093,5.9322911799203695
2272,770,664,754,10.347911008026367,6.964913284703488
2234,423,948,441,4.1005890072328866,6.499361206663183
3072,176,989,865,1158.9251380962555,6.2424900572269335
2571,63,1011,866,6.058595538193916,3.8806935745369118
2578,706,653,1282,5.088442640461441,5.458847821268352
2456,721,1043,845,88.30088198492388,8.650536729302493
2893,332,756,1201,6.95852534562212,1.767024307753681
2377,365,1069,531,4.964964751121555,5.612497939396695
2679,529,930,1078,60.39674062318796,2.4165880111319313
2220,193,610,1015,4.832636494033632,5.742521139846956
2753,482,966,1035,272.2949613940855,0.3943370277331011
2287,785,1177,1182,42.19153416547135,2.0497535775137146
2816,379,939,531,7.2945646534623245,2.480345658722953
2314,725,1070,694,6.7290871913815735,2.4219805101568803
2587,983,1025,963,8.728293710135198,5.310220648823511
2894,201,1260,634,5.564683980834377,4.758110438255664
2439,670,750,494,36.748558000427266,8.236283658848752
2887,1029,1343,1196,5.661763359477524,4.6705308580745815
2798,925,898,1197,6.605426190984832,2.4695577867976937
2986,377,976,1005,323.8670003357036,4.869914350725205
3138,363,1359,823,5.397137363811152,5.041113584391642
2179,91,1410,1294,3.7918942838831753,6.769594831835928
2712,986,1378,1007,5.8821985534226515,4.221714604902114
2368,482,710,1273,5.176610614337596,5.315347836565628
2501,1002,1239,985,5.8910184026612145,4.205496121865464
2220,363,1353,995,3.8448133793145547,6.7250468453336865
2964,897,1018,668,6.138035218359935,3.797454859511939
2564,160,713,968,5.785180211798457,4.3950026479955335
2216,743,1238,899,6.77318643757439,2.259724900201276
2377,825,1083,836,373.5529038361767,7.9474324389607585
2833,869,1150,1378,6.138004699850461,3.7561117991511606
2246,542,909,1399,4.426923429059725,6.184161055186539
2559,631,1162,422,5.264809106723228,5.196500686980778
2762,672,948,1159,8.400830103457746,4.842946786449535
2402,621,999,1396,7.02935880611591,2.1639815014402712
2988,613,1282,928,6.402722251045259,3.3247732081587333
2601,495,848,534,22.950834681234166,5.5465121222237075
2510,605,1397,1400,324.9290444654683,2.7418290729400354
3068,849,845,518,6.102694784386731,3.789364855147926
2865,973,1036,860,6.878994109927672,1.7190480104433503
2351,173,1416,767,4.920834986419264,5.638077846691989
2550,454,868,614,62.20221564378796,5.772692646429857
2515,510,1466,1348,17.313150425733205,8.721542346825435
2723,638,965,441,6.393780327768793,3.154478082119833
2614,305,1248,1177,41.65166173284097,3.468621602988967
2832,210,939,1379,6.834955900753807,2.085325192132211
2538,953,640,1255,5.538254951628163,4.831586983129418
2870,566,1003,1153,48.53724784081546,8.437125713983797
2741,95,1210,1122,7.188482314523759,2.3624722900871817
2636,966,1483,521,5.273689992980743,5.244283937759968
2942,432,668,659,122.80251472518081,8.803295792833962
2357,647,647,512,8.383190404980622,4.88015120550688
2634,387,1348,562,4.409283730582599,6.202047495600869
2682,178,807,493,6.65843684194464,2.4772050422372214
2332,498,1198,873,6.720175786614582,2.2540393446345797
2887,194,1248,918,60.61799981688894,3.0916932789173113
2937,836,1073,1233,6.323221533860286,3.3332771995388577
2670,125,1137,465,5.061952574236275,5.463859230919549
3101,452,892,577,6.199774163029878,3.664569558624219
2587,562,652,1304,5.652882473220008,4.617559608389074
3125,215,1014,1214,58.37000640888699,5.202322650112411
2964,823,899,591,6.1644642475661495,3.6992353746077327
2882,370,1106,1031,1310.0460829493081,8.423095434907175
2431,651,800,508,9.161961729789116,5.843917326171098
2590,139,1161,923,6.526047547837764,2.7270169436139278
2342,163,1497,629,4.171147801141393,6.433921332830268
2256,198,1495,1181,3.7918942838831753,6.769594831835928
3096,590,879,669,5.829279457991272,4.317368003940495
3076,1027,1045,882,4.691518906216621,5.903049388872817
3036,392,1064,847,67.46818445387127,8.732003540315974
2517,449,749,1344,4.400463881344036,6.210952612850046
3127,392,1383,502,4.956114383373516,5.595365464864095
2462,841,726,458,288.66475417340615,4.7136732799622605
3140,522,1063,688,6.226172673726616,3.5181249857235035
2871,507,721,809,23.747367778557695,4.8426232989993
2817,462,711,1135,6.1644642475661495,3.6992353746077327
2864,1013,825,740,5.688161870174262,4.559648805479283
2403,400,1451,736,3.1656849879451894,7.246782311686551
2790,59,1553,1342,5.538254951628162,4.831586983129418
2711,70,1384,1028,5.85583056123539,4.378228502296094
2843,88,845,632,60.36133915219581,2.288192364294069
2418,817,1143,839,172.47077852717672,9.175296231954052
2605,782,669,908,7.117679372539445,2.0870085271241234
3034,271,681,1192,4.762077700125126,5.823765887115337
3065,88,1505,606,3.8889126255073707,6.687376967600536
3080,69,876,651,1139.870296334727,3.802476844266124
2365,162,864,1087,4.96493423261208,5.584601503840675
2386,724,1322,1252,55.89190343943602,7.510615220530075
2482,452,1460,1183,6.543748283333842,2.7865612640016035
2149,581,1347,1307,6.446790978728599,3.164016450572102
3066,233,1003,738,148.18536942655714,2.393840426926709
2175,385,1372,571,5.158970915860469,5.33862494624664
2652,150,701,832,6.296731467635121,3.351252571475816
2172,100,650,997,5.194250312814722,5.291909543137914
2639,592,992,616,33.65977965636158,8.866774398221358
2349,802,891,919,59.96307260353405,1.3091067160240872
2665,429,875,1124,16.50776696066164,8.822706950173716
2802,175,788,432,6.596667378765222,2.6215478851103944
2197,412,1184,855,5.061952574236275,5.463859230919549
3134,786,1393,1209,5.538224433118686,4.799157072282367
2461,983,1349,476,4.568041016876736,6.037307600377068
2301,622,812,987,7.232764671773431,2.5796218491914362
2146,805,759,929,7.3920102542191835,2.955844898256524
3084,798,885,606,6.0674153874324785,3.8626408654714557
2546,680,653,1417,4.762077700125126,5.823765887115337
2321,834,774,494,62.46772667622914,6.06760971253496
2677,575,1264,705,6.367290261543627,3.1740553072810314
2708,959,1382,656,4.568041016876736,6.037307600377068
2758,290,1437,641,4.1005890072328866,6.499361206663183
2350,553,1303,1277,7.055726798303172,1.8096734949477826
2617,189,1437,890,5.291268654438917,5.160018858467602
2221,273,689,965,4.912015137180701,5.648671050490311
2359,87,1522,481,4.047669911801508,6.547512965981136
2792,99,1561,506,4.515121921445357,6.09317546781638
2816,89,1153,1292,40.53651539658803,5.380295715283944
2693,834,1477,1312,6.323221533860286,3.3332771995388577
2796,611,783,660,344.9043244727928,5.448952279103384
2355,375,1361,1233,5.838099307229835,4.3016186934824745
2907,727,1264,869,5.758781701101719,4.510502391337828
2818,741,1455,995,5.855739005706962,4.269891152126923
2282,773,1399,1137,6.790704062013611,1.8847873881852493
2631,413,1363,1053,6.5525681325724054,2.7598147702432123
2421,426,1298,778,5.4147770622882785,5.0156186167885055
2554,182,629,1361,4.859096041749321,5.711531708331186
2510,277,1479,1260,6.076235236671042,3.8444831528161085
2815,660,1505,465,4.93847468489639,5.616789955511844
2209,583,1067,545,4.920834986419264,5.638077846691989
2581,224,1242,987,6.676107058931242,2.479497044697352
2803,387,1012,637,41.7932676168096,3.2143288007731563
2270,911,1081,1032,148.3358256782738,1.7668845445262147
3001,442,639,458,272.6918546098209,2.6442490509178564
2319,86,1068,675,3.7477950376903597,6.806181137825611
2217,655,908,594,6.773155919064913,2.1895451194296958
2709,80,1298,613,4.823816644795068,5.752786809718027
2185,90,1286,633,4.038850062562945,6.55546234085304
2648,281,1249,441,4.585680715353863,6.018466334461384
2245,190,603,902,4.682699056978057,5.912825877044693
3062,46,1093,1316,52.90932950834681,8.685705997649183
2961,358,1265,544,5.044312875759148,5.486137650642579
2683,198,1399,1042,6.4556108279671625,3.1407585525041006
2684,256,766,1365,5.458845789971619,4.919389016723014
2579,75,1235,807,4.250526444288462,6.358560801148665
2985,976,944,1225,5.899868770409253,4.22630661175975
3006,129,921,570,55.37858211004975,7.807203310330714
3012,125,1525,763,4.30344553971984,6.307265298724039
2855,652,958,530,5.2207098605304125,5.2564451628693005
2597,537,1316,751,6.782067323831904,2.361876330299227
2269,519,1035,1126,6.95852534562212,1.767024307753681
2960,775,1416,956,5.873409222693564,4.27454078402244
2722,686,814,769,377.0574358348339,5.020908510482607
2945,228,644,1221,5.423566393017365,4.971485445973838
3018,988,1559,848,5.538224433118686,4.799157072282367
2474,521,1562,674,4.047669911801508,6.547512965981135
2990,330,837,1282,6.932279427472763,2.4029363323600625
2567,518,1266,461,4.859096041749321,5.7115317083311865
3114,358,1371,493,4.9472945341349535,5.606094882768829
2506,392,1201,990,7.046937467574084,1.935037964245726
2471,526,1591,784,5.185460982085635,5.333013980157852
3117,512,1375,1058,6.420239875484482,3.084341593393672
2157,418,1413,906,3.827173680837428,6.73997505645382
2273,756,1085,511,6.40256965849788,3.081032267610699
3005,926,1087,707,5.758751182592243,4.475748106345114
2435,425,1517,601,4.497512741477707,6.137086584637364
2930,195,1519,636,3.5008392590105903,7.002404867269407
2941,328,654,678,128.3605456709494,6.039291477487204
2807,800,761,1418,3.8536332285531176,6.717552929294064
2152,926,1119,1182,26.712240974150816,6.068642374133824
2516,553,763,1342,6.120365001373333,3.793453168855377
2731,337,1259,819,6.340861232337413,3.2896305470759026
2396,578,911,1177,7.860957670827356,3.8941215799851356
2543,734,1001,427,6.4467299417096475,3.0637334518645667
3041,923,1213,788,4.850276192510758,5.721893762574818
2759,849,1096,457,5.203070162053287,5.280129282325193
3072,715,631,745,5.979216895046846,4.038672432542266
2173,618,1372,812,5.282448805200354,5.172223099329656
2564,582,1029,533,6.579088717307048,2.7919754724063037
3135,86,1306,817,4.859096041749321,5.711531708331186
2321,893,1385,1208,9.135410626545,5.813580156688624
2847,377,725,802,328.14172795800647,6.4727356786184
2695,564,1229,1319,777.2139652699364,8.812011216192799
2532,284,1043,1091,7.3830988494521925,2.821974129862758
2592,218,1476,1189,6.420239875484482,3.0843415933936726
2611,147,1252,656,5.679342020935699,4.574220750626256
3040,993,1188,767,5.317728202154607,5.123140602634311
2210,487,963,1161,5.926297799615468,4.13979897330054
2903,914,1588,789,3.985930967131565,6.60271020938717
2471,914,691,1119,6.870235297708061,1.9322825812664055
2552,696,1164,1165,1490.0112918485063,6.489196821373733
3024,194,854,1172,10.259407330545978,6.8946068914805805
2792,39,1300,859,6.217352824488053,3.538331811698173
2379,351,981,1030,6.684865871150852,2.317912066620845
2287,302,1040,894,6.06747642445143,3.9426613087464486
2499,868,1058,581,6.261452070680868,3.4358831822905582
2725,54,758,960,5.961607715079196,4.110898017084974
2832,737,1531,907,4.4886623737296665,6.120746610391393
2672,783,849,1259,7.082308420056765,2.012769078150808
2236,328,1251,836,4.506302072206794,6.102392437130976
2496,788,842,999,55.17502365184485,7.912525753379625
2919,882,987,1042,6.799707022309031,2.2963458459369406
2968,985,1048,513,4.647419660023805,5.951640539930813
2443,83,1079,564,4.453382976775414,6.157139217085509
3024,862,1319,639,4.35636463515122,6.255101499875922
2253,696,900,1261,6.587878048036135,2.7081169525257316
3101,989,1239,1093,4.312265388958403,6.298632208773717
2315,646,1409,760,4.568041016876736,6.037307600377068
2346,260,797,657,5.96157719656972,4.072736693668771
2148,155,1113,1061,5.2207098605304125,5.2564451628693005
2511,712,1137,1070,1475.160374767296,0.7914030314366782
2218,736,796,1128,6.994079409161658,2.3041069168958104
3118,673,1058,1401,5.529404583880124,4.812729163313569
3105,870,1536,711,5.035493026520585,5.49722177702728
2374,67,1287,781,4.9472945341349535,5.606094882768829
2610,704,617,1110,6.014557329020051,4.04734233125494
2835,799,831,572,5.0443128757591476,5.486137650642579
3096,413,807,838,7.038178655354472,2.1274171672229403
2938,317,1302,1078,132.29895931882686,5.014528080853511
2204,940,872,440,5.564683980834376,4.758110438255664
2208,674,895,695,7.020538956877346,2.199902837462446
3011,776,1580,446,5.255989257484664,5.208574643877741
2364,570,1410,1412,7.427320169682913,2.8974225898804793
2622,936,1441,1297,6.4467299417096475,3.0637334518645667
2808,731,1283,448,4.709158604693746,5.883408010623855
2434,173,727,1205,5.291268654438917,5.160018858467602
2192,754,1551,961,5.308908352916045,5.135477927350265
2231,787,731,1262,5.71462141788995,4.515547476659729
2514,994,724,607,74.64583269753106,6.740797057077091
2878,73,1447,456,4.612140263069552,5.989995918959184
2583,836,1375,791,6.33204138309885,3.311537528452735
2642,867,1157,831,5.026673177282023,5.508269476919832
2678,476,1347,1376,1058.3840449232457,8.789582667428586
2361,47,1005,822,4.171147801141393,6.433921332830268
2969,450,808,1055,7.409680471205786,2.953380272363435
2666,1024,1463,565,5.203070162053286,5.280129282325193
2631,993,1565,1386,6.58790856654561,2.7651686263115036
2957,143,1373,1344,415.96484267708354,5.833835891948082
2563,765,1441,1372,271.12674336985384,4.379268923235019
2615,308,1113,863,6.720175786614582,2.2540393446345797
2655,486,1195,718,6.587847529526658,2.6498372258148812
2516,181,1032,721,6.085055085909604,3.8262189416553953
2327,564,1459,507,4.612140263069552,5.989995918959184
2738,904,1254,1393,5.670522171697136,4.5887294692681335
2931,506,1119,622,6.199743644520402,3.6217104047739883
2401,444,1022,1392,6.51731925412763,2.919125373983338
2669,214,1281,1291,26.79189428388317,6.054059108664017
2206,563,927,1363,4.814996795556505,5.7630206953524885
2365,337,790,1011,6.455549790948211,3.039708526550754
2646,622,1100,755,5.829309976500748,4.353386370106132
2526,722,1579,1066,6.226203192236091,3.5622304243226584
2515,1008,1528,917,5.273628955961792,5.184383606491333
3015,996,1218,599,3.827173680837428,6.73997505645382
2688,265,1584,1081,6.102725302896208,3.8303492951623244
2922,879,735,957,5.317728202154607,5.123140602634311
2201,221,1191,892,4.400463881344035,6.210952612850046
2514,622,946,1141,53.581957457197795,8.526611666619184
2799,49,1140,499,5.185430463576159,5.303648971034857
2383,312,1421,1205,5.802819910275582,4.3641679959135224
2344,379,1084,1375,6.208563493758966,3.602014475563633
3012,63,1067,607,5.229529709768976,5.244540746063698
2420,820,1127,1259,226.74214911343734,8.755532428916876
2598,245,825,764,15.578478347117528,8.847375818018692
2187,988,1245,937,5.097231971190528,5.418855367007308
2584,274,731,1064,6.473158970915861,2.93833704790208
2534,794,1297,534,4.012390514847255,6.579181895449412
2161,285,635,756,3.7477950376903597,6.806181137825611
2457,682,1313,794,6.040986358226264,3.956157946110584
2953,364,1001,937,427.4349192785424,7.426212735073535
2508,513,1583,1370,6.102755821405682,3.870899822858764
2580,973,685,1302,5.361827448347423,5.060772312842661
2620,393,1370,1250,24.862514114810626,4.34904405574053
2806,933,1575,762,4.35636463515122,6.255101499875922
2970,383,625,1386,3.589037751396222,6.9339722890643865
2839,422,1436,1111,5.891018402661215,4.205496121865464
3021,648,1221,732,5.794000061037019,4.379621339335444
2247,459,1073,538,3.968291268654439,6.618290515097573
2809,580,656,919,6.799615466780602,2.0824175160284417
2228,106,641,1327,3.8712729270302444,6.702505142951631
2480,881,1139,828,5.10605182042909,5.407509915677525
2256,139,918,986,3.7477950376903593,6.806181137825612
2414,739,923,895,661.5276955473495,3.44323650771384
2490,700,889,1323,7.055757316812647,1.8939772188713568
2380,445,1081,848,6.614337595751824,2.6241297694548598
2373,622,1074,1407,7.515823847163305,3.141778285796134
2773,832,1127,1133,4.885555589465011,5.680249964009088
2454,620,1098,1311,38.996551408429205,6.944014552837402
3134,134,1217,1228,1280.7159642323065,1.9324631552038063
2360,449,1377,437,3.4302804651020846,7.05587939085055
2728,720,966,1141,13.330484939115575,8.496353038117618
2653,342,789,497,29.110690633869435,7.740864753675692
2853,547,1011,1364,6.755577257606738,2.3922638690605122
2548,538,1089,478,5.661702322458572,4.603175559254572
2425,237,773,641,5.846949674977876,4.32207473750831
2829,749,1573,822,5.608783227027192,4.6885691402971394
2441,879,1161,811,42.75795770134586,2.8538147696414113
2182,1005,1305,1238,75.45118564409317,5.988655016575446
2425,167,1426,1330,5.785180211798456,4.3950026479955335
2182,687,1476,811,4.762077700125126,5.823765887115337
2232,93,636,1092,4.144688253425703,6.458629320898397
2278,195,926,1077,4.365184484389783,6.246321593528157
2848,962,1248,1039,6.534867397076327,2.6997384196275025
3051,242,1441,1200,4.400463881344036,6.210952612850045
3071,282,676,780,61.58268990142521,4.962649874852724
2580,595,967,1067,198.48445081942202,6.626049319885197
2438,268,1195,1106,5.90865810113834,4.172814127677531
2935,382,1244,1222,696.825159459212,0.6850321850611963
2146,84,1190,644,3.906552323984497,6.67216785642946
3097,510,624,558,6.4820093386639,2.9663091943410795
2798,443,1262,874,12.17108676412244,8.068308044422945
2362,729,1122,802,6.905667287209694,2.1627679208352997
2742,680,1196,552,4.532761619922483,6.074661158685962
2996,223,1148,921,1055.817438276314,8.084175110550914
